,Unnamed: 0,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
52832,1999752,2403505,City of Dover,Civil,KY,21,Mason,161.0,384523N,0835304W,38.7563129,-83.8844405,,,,,162.0,531.0,Higginsport,03/10/2008,07/13/2018
52833,1999753,2403506,City of Dover,Civil,TN,47,Stewart,161.0,362855N,0875038W,36.4818367,-87.84382120000002,,,,,146.0,479.0,Dover,03/10/2008,07/14/2018
52834,1999754,2403507,City of Drakesboro,Civil,KY,21,Muhlenberg,177.0,371303N,0870258W,37.2176079,-87.04932059999999,,,,,135.0,443.0,Drakesboro,03/10/2008,07/13/2018
52835,1999755,2403508,City of Drew,Civil,MS,28,Sunflower,133.0,334836N,0903149W,33.8100518,-90.5303978,,,,,42.0,138.0,Drew,03/10/2008,07/13/2018
52836,1999756,2403509,City of Druid Hills,Civil,KY,21,Jefferson,111.0,381554N,0853942W,38.2649361,-85.6617694,,,,,171.0,561.0,Jeffersonville,03/10/2008,07/14/2018
52837,1999757,2403510,City of Dry Ridge,Civil,KY,21,Grant,81.0,384101N,0843602W,38.6836283,-84.600594,,,,,293.0,961.0,Williamstown,03/10/2008,07/14/2018
52838,1999758,2403511,City of Dublin,Civil,GA,13,Laurens,175.0,323208N,0825540W,32.5356698,-82.92787220000002,,,,,80.0,262.0,Dublin,03/10/2008,07/14/2018
52839,1999759,2403512,City of Ducktown,Civil,TN,47,Polk,139.0,350210N,0842305W,35.0360338,-84.3848325,,,,,535.0,1755.0,Ducktown,03/10/2008,07/14/2018
52840,1999760,2403513,City of Dudley,Civil,GA,13,Laurens,175.0,323156N,0830450W,32.532126500000004,-83.08047020000002,,,,,101.0,331.0,Dudley,03/10/2008,07/14/2018
52841,1999761,2403514,City of Duluth,Civil,GA,13,Gwinnett,135.0,340019N,0840858W,34.0054049,-84.1493108,,,,,324.0,1063.0,Duluth,03/10/2008,07/13/2018
52842,1999762,2403515,City of Dumas,Civil,AR,5,Desha,41.0,335305N,0912910W,33.88483239999999,-91.4860046,,,,,50.0,164.0,Dumas,03/10/2008,07/14/2018
52843,1999763,2403516,City of Dunedin,Civil,FL,12,Pinellas,103.0,280231N,0824817W,28.0418337,-82.804822,,,,,0.0,0.0,Dunedin,03/10/2008,07/14/2018
52844,1999764,2403517,City of Dunlap,Civil,TN,47,Sequatchie,153.0,352203N,0852323W,35.3675347,-85.38982440000002,,,,,219.0,718.0,Daus,03/10/2008,07/14/2018
52845,1999765,2403518,City of Dunn,Civil,NC,37,Harnett,85.0,351841N,0783646W,35.3112917,-78.61278279999998,,,,,63.0,207.0,Dunn,03/10/2008,07/14/2018
52846,1999766,2403519,City of Dunnellon,Civil,FL,12,Marion,83.0,290311N,0822629W,29.0529508,-82.44146640000002,,,,,19.0,62.0,Dunnellon,03/10/2008,07/14/2018
52847,1999767,2403520,City of Durant,Civil,MS,28,Holmes,51.0,330448N,0895124W,33.0799401,-89.8565859,,,,,83.0,272.0,Durant,03/10/2008,07/14/2018
52848,1999768,2403521,City of Durham,Civil,NC,37,Durham,63.0,355847N,0785414W,35.9797218,-78.9037628,,,,,110.0,361.0,Southwest Durham,03/10/2008,07/14/2018
52849,1999769,2403522,City of Dycusburg (historical),Civil,KY,21,Crittenden,55.0,370937N,0881105W,37.1603606,-88.1846122,,,,,112.0,367.0,Dycusburg,03/10/2008,10/18/2018
52850,1999770,2403523,City of Dyer,Civil,AR,5,Crawford,33.0,352940N,0940819W,35.49433829999999,-94.1384966,,,,,131.0,430.0,Alma,03/10/2008,07/14/2018
52851,1999771,2403524,City of Dyer,Civil,TN,47,Gibson,53.0,360416N,0885933W,36.0711486,-88.9923633,,,,,103.0,338.0,Dyer,03/10/2008,07/13/2018
52852,1999772,2403525,City of Dyersburg,Civil,TN,47,Dyer,45.0,360248N,0892240W,36.0465677,-89.3777176,,,,,101.0,331.0,Dyersburg,03/10/2008,07/14/2018
52853,1999773,2403526,City of Eagle Lake,Civil,FL,12,Polk,105.0,275834N,0814527W,27.9762044,-81.75745140000002,,,,,52.0,171.0,Bartow,03/10/2008,07/14/2018
52854,1999774,2403527,City of Eagleville,Civil,TN,47,Rutherford,149.0,354424N,0863911W,35.7399234,-86.65299999999998,,,,,234.0,768.0,Chapel Hill,03/10/2008,07/14/2018
52855,1999775,2403528,City of Earle,Civil,AR,5,Crittenden,35.0,351624N,0902751W,35.27342750000001,-90.4642519,,,,,65.0,213.0,Earle,03/10/2008,07/14/2018
52856,1999776,2403529,City of Earlington,Civil,KY,21,Hopkins,107.0,371631N,0873023W,37.275415,-87.5064903,,,,,169.0,554.0,Madisonville West,03/10/2008,07/13/2018
52857,1999777,2403530,City of Easley,Civil,SC,45,Pickens,77.0,344909N,0823458W,34.8190297,-82.5828719,,,,,309.0,1014.0,Easley,03/10/2008,07/13/2018
52858,1999778,2403531,City of East Brewton,Civil,AL,1,Escambia,53.0,310526N,0870320W,31.0905394,-87.0555941,,,,,31.0,102.0,Brewton South,03/10/2008,07/14/2018
52859,1999779,2403532,City of East Dublin,Civil,GA,13,Laurens,175.0,323252N,0825207W,32.5477725,-82.8685823,,,,,75.0,246.0,East Dublin,03/10/2008,07/14/2018
52860,1999780,2403533,City of East Ellijay,Civil,GA,13,Gilmer,123.0,344033N,0842834W,34.6759169,-84.4760946,,,,,430.0,1411.0,Ellijay,03/10/2008,07/13/2018
52861,1999781,2403534,City of East Point,Civil,GA,13,Fulton,121.0,334010N,0842812W,33.6695792,-84.47002140000002,,,,,293.0,961.0,Southwest Atlanta,03/10/2008,07/14/2018
52862,1999782,2403535,City of East Ridge,Civil,TN,47,Hamilton,65.0,345950N,0851343W,34.9972994,-85.2285078,,,,,206.0,676.0,East Ridge,03/10/2008,07/14/2018
52863,1999783,2403536,City of Eastman,Civil,GA,13,Dodge,91.0,321151N,0831017W,32.1973894,-83.1714507,,,,,104.0,341.0,Eastman,03/10/2008,07/13/2018
52864,1999784,2403537,City of Eatonton,Civil,GA,13,Putnam,237.0,331933N,0832319W,33.3257615,-83.38863559999999,,,,,172.0,564.0,Eatonton,03/10/2008,07/14/2018
52865,1999785,2403538,City of Eddyville,Civil,KY,21,Lyon,143.0,370433N,0880437W,37.0759004,-88.0769994,,,,,133.0,436.0,Eddyville,03/10/2008,07/14/2018
52866,1999786,2403539,City of Eden,Civil,NC,37,Rockingham,157.0,363010N,0794432W,36.502854,-79.7420968,,,,,197.0,646.0,Northeast Eden,03/10/2008,07/13/2018
52867,1999787,2403540,City of Edge Hill,Civil,GA,13,Glascock,125.0,330912N,0823730W,33.1534209,-82.6249889,,,,,145.0,476.0,Gibson,03/10/2008,07/14/2018
52868,1999788,2403541,City of Edgewater,Civil,FL,12,Volusia,127.0,285809N,0805855W,28.9690837,-80.9819593,,,,,8.0,26.0,Edgewater,03/10/2008,07/13/2018
52869,1999789,2403542,City of Edgewood,Civil,KY,21,Kenton,117.0,390033N,0843338W,39.0090868,-84.560417,,,,,258.0,846.0,Covington,03/10/2008,07/14/2018
52870,1999790,2403543,City of Edgewood,Civil,FL,12,Orange,95.0,282910N,0812213W,28.4860589,-81.370416,,,,,27.0,89.0,Pine Castle,03/10/2008,07/14/2018
52871,1999791,2403544,City of Edison,Civil,GA,13,Calhoun,37.0,313339N,0844415W,31.5608124,-84.737402,,,,,92.0,302.0,Edison,03/10/2008,07/14/2018
52872,1999792,2403545,City of Edmonton,Civil,KY,21,Metcalfe,169.0,365903N,0853707W,36.9841088,-85.6186957,,,,,249.0,817.0,Edmonton,03/10/2008,07/14/2018
52873,1999793,2403546,City of Ekron,Civil,KY,21,Meade,163.0,375549N,0861035W,37.9302489,-86.1763962,,,,,201.0,659.0,Guston,03/10/2008,07/14/2018
52874,1999794,2403547,City of El Dorado,Civil,AR,5,Union,139.0,331306N,0923951W,33.2183609,-92.6640666,,,,,70.0,230.0,El Dorado West,03/10/2008,07/14/2018
52875,1999795,2403548,City of Elaine,Civil,AR,5,Phillips,107.0,341831N,0905112W,34.3086031,-90.8533493,,,,,51.0,167.0,Elaine,03/10/2008,07/14/2018
52876,1999796,2403549,City of Elba,Civil,AL,1,Coffee,31.0,312502N,0860433W,31.417249100000006,-86.0759286,,,,,58.0,190.0,Elba,03/10/2008,07/14/2018
52877,1999797,2403550,City of Elberton,Civil,GA,13,Elbert,105.0,340623N,0825214W,34.106347799999995,-82.8706059,,,,,208.0,682.0,Elberton East,03/10/2008,07/14/2018
52878,1999798,2403551,City of Elizabeth City,Civil,NC,37,Pasquotank,139.0,361739N,0761410W,36.2942831,-76.2360267,,,,,2.0,7.0,Elizabeth City,03/10/2008,07/14/2018
52879,1999799,2403552,City of Elizabethton,Civil,TN,47,Carter,19.0,362011N,0821417W,36.3363056,-82.2379602,,,,,488.0,1601.0,Elizabethton,03/10/2008,07/14/2018
52880,1999800,2403553,City of Elizabethtown,Civil,KY,21,Hardin,93.0,374211N,0855238W,37.7029697,-85.8771722,,,,,223.0,732.0,Cecilia,03/10/2008,07/14/2018
52881,1999801,2403554,City of Elkhorn City,Civil,KY,21,Pike,195.0,371913N,0822108W,37.3202359,-82.3521602,,,,,509.0,1670.0,Elkhorn City,03/10/2008,07/14/2018
52882,1999802,2403555,City of Elkins,Civil,AR,5,Washington,143.0,360059N,0940130W,36.0163151,-94.0250026,,,,,374.0,1227.0,Elkins,03/10/2008,07/13/2018
52883,1999803,2403556,City of Elkton,Civil,KY,21,Todd,219.0,364848N,0870940W,36.8134416,-87.16101,,,,,187.0,614.0,Elkton,03/10/2008,07/14/2018
52884,1999804,2403557,City of Elkton,Civil,TN,47,Giles,55.0,350343N,0865351W,35.0618384,-86.8975623,,,,,199.0,653.0,Elkton,03/10/2008,07/14/2018
52885,1999805,2403558,City of Ellaville,Civil,GA,13,Schley,249.0,321417N,0841832W,32.238018100000005,-84.3088965,,,,,174.0,571.0,Ellaville South,03/10/2008,07/14/2018
52886,1999806,2403559,City of Ellijay,Civil,GA,13,Gilmer,123.0,344129N,0842902W,34.6913252,-84.4839152,,,,,377.0,1237.0,Ellijay,03/10/2008,07/14/2018
52887,1999807,2403560,City of Ellisville,Civil,MS,28,Jones,67.0,313549N,0891233W,31.596974100000004,-89.20905069999998,,,,,64.0,210.0,Ellisville,03/10/2008,07/13/2018
52888,1999808,2403561,City of Elm Springs,Civil,AR,5,Washington,143.0,361225N,0941412W,36.2069004,-94.2365769,,,,,361.0,1184.0,Springdale,03/10/2008,07/14/2018
52889,1999809,2403562,City of Elsmere,Civil,KY,21,Kenton,117.0,385942N,0843606W,38.9948794,-84.6017478,,,,,255.0,837.0,Independence,03/10/2008,07/14/2018
52890,1999810,2403563,City of Emerson,Civil,GA,13,Bartow,15.0,340749N,0844454W,34.1302855,-84.74846529999998,,,,,331.0,1086.0,Allatoona Dam,03/10/2008,07/13/2018
52891,1999811,2403564,City of Eminence,Civil,KY,21,Henry,103.0,382149N,0851040W,38.36372520000001,-85.1778179,,,,,282.0,925.0,Eminence,03/10/2008,07/14/2018
52892,1999812,2403565,City of Emmet,Civil,AR,5,Nevada,99.0,334322N,0932757W,33.7227052,-93.46577109999998,,,,,92.0,302.0,Emmet,03/10/2008,07/14/2018
52893,1999813,2403566,City of England,Civil,AR,5,Lonoke,85.0,343245N,0915808W,34.5459547,-91.96896,,,,,70.0,230.0,England,03/10/2008,07/14/2018
52894,1999814,2403567,City of Enterprise,Civil,AL,1,Coffee,31.0,311939N,0855045W,31.3276021,-85.8459165,,,,,95.0,312.0,Enterprise,03/10/2008,07/14/2018
52895,1999815,2403568,City of Ephesus,Civil,GA,13,Heard,149.0,332425N,0851535W,33.4070102,-85.2595988,,,,,369.0,1211.0,Graham,03/10/2008,07/14/2018
52896,1999816,2403569,City of Erin,Civil,TN,47,Houston,83.0,361857N,0874209W,36.3159363,-87.70250859999999,,,,,151.0,495.0,Erin,03/10/2008,07/14/2018
52897,1999817,2403570,City of Erlanger,Civil,KY,21,Kenton,117.0,390142N,0843559W,39.0283044,-84.5996667,,,,,254.0,833.0,Covington,03/10/2008,07/14/2018
52898,1999818,2403571,City of Eton,Civil,GA,13,Murray,213.0,344927N,0844540W,34.8241696,-84.761052,,,,,227.0,745.0,Chatsworth,03/10/2008,07/14/2018
52899,1999819,2403572,City of Etowah,Civil,TN,47,McMinn,107.0,352018N,0843141W,35.3384189,-84.5280825,,,,,274.0,899.0,Etowah,03/10/2008,07/14/2018
52900,1999820,2403573,City of Eubank,Civil,KY,21,Pulaski,199.0,371648N,0843915W,37.2799591,-84.6542055,,,,,362.0,1188.0,Eubank,03/10/2008,07/14/2018
52901,1999821,2403574,City of Eudora,Civil,AR,5,Chicot,17.0,330708N,0911551W,33.1188728,-91.2640286,,,,,41.0,135.0,Eudora South,03/10/2008,07/14/2018
