,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,state,abbr,region,result,url
1152,5450,1355020,"Newnan city, Georgia",36792,Georgia,GA,Newnan,"Newnan, GA",https://atlanta.craigslist.org/?search_distance=9.1&postal=30263
1472,5666,1384176,"Woodstock city, Georgia",29227,Georgia,GA,Woodstock,"Woodstock, GA",https://atlanta.craigslist.org/?search_distance=9.2&postal=30189
1308,5224,1323900,"Douglasville city, Georgia",32768,Georgia,GA,Douglasville,"Douglasville, GA",https://atlanta.craigslist.org/?search_distance=9.9&postal=30133
2896,7,101132,"Alexander City city, Alabama",14705,Alabama,AL,Alexander,"Alexander City, AL",https://auburn.craigslist.org/?search_distance=10.8&postal=35010
1416,5362,1344340,"LaGrange city, Georgia",30442,Georgia,GA,LaGrange,no match,https://auburn.craigslist.org/?search_distance=14.9&postal=30241
1466,398,157048,"Opelika city, Alabama",29372,Alabama,AL,Opelika,"Opelika, AL",https://auburn.craigslist.org/?search_distance=17.3&postal=36804
1431,23305,4500550,"Aiken city, South Carolina",30277,South Carolina,SC,Aiken,"Aiken, SC",https://augusta.craigslist.org/?search_distance=14.3&postal=29805
122,5081,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196899,Georgia,GA,Augusta-Richmond,no result,https://augusta.craigslist.org/?search_distance=15.8&postal=30905
1212,5254,1328044,"Evans CDP, Georgia",35204,Georgia,GA,Evans,"Evans, GA",https://augusta.craigslist.org/?search_distance=5.1&postal=30809
3149,5298,1335716,"Grovetown city, Georgia",13353,Georgia,GA,Grovetown,"Grovetown, GA",https://augusta.craigslist.org/?search_distance=5.3&postal=30813
1965,23548,4550695,"North Augusta city, South Carolina",22268,South Carolina,SC,North Augusta,"North Augusta, SC",https://augusta.craigslist.org/?search_distance=9&postal=29860
607,25077,4829336,"Georgetown city, Texas",63062,Texas,TX,Georgetown,"Georgetown, TX",https://austin.craigslist.org/?search_distance=10.3&postal=78633
241,25888,4863500,"Round Rock city, Texas",116369,Texas,TX,Round Rock,"Round Rock, TX",https://austin.craigslist.org/?search_distance=10.8&postal=78664
1029,25390,4842016,"Leander city, Texas",40338,Texas,TX,Leander,"Leander, TX",https://austin.craigslist.org/?search_distance=13.8&postal=78641
10,24590,4805000,"Austin city, Texas",916906,Texas,TX,Austin,"Austin, TX",https://austin.craigslist.org/?search_distance=25.6&postal=78730
530,24768,4813552,"Cedar Park city, Texas",70010,Texas,TX,Cedar Park,"Cedar Park, TX",https://austin.craigslist.org/?search_distance=5&postal=78613
693,25730,4857176,"Pflugerville city, Texas",58013,Texas,TX,Pflugerville,"Pflugerville, TX",https://austin.craigslist.org/?search_distance=5.9&postal=78660
1943,25218,4835624,"Hutto city, Texas",22644,Texas,TX,Hutto,"Hutto, TX",https://austin.craigslist.org/?search_distance=7.5&postal=78634
2375,3182,671106,"Shafter city, California",18433,California,CA,Shafter,"Shafter, CA",https://bakersfield.craigslist.org/?search_distance=11.1&postal=93263
1641,3376,683542,"Wasco city, California",26378,California,CA,Wasco,"Wasco, CA",https://bakersfield.craigslist.org/?search_distance=11.5&postal=93280
2098,1986,602924,"Arvin city, California",20826,California,CA,Arvin,"Arvin, CA",https://bakersfield.craigslist.org/?search_distance=13.4&postal=93203
2197,3084,662826,"Rosamond CDP, California",20024,California,CA,Rosamond,"Rosamond, CA",https://bakersfield.craigslist.org/?search_distance=13.8&postal=93560
3242,3281,678092,"Tehachapi city, California",12948,California,CA,Tehachapi,"Tehachapi, CA",https://bakersfield.craigslist.org/?search_distance=14.9&postal=93561
3112,2110,609780,"California City city, California",13495,California,CA,California,"California City, CA",https://bakersfield.craigslist.org/?search_distance=16&postal=93504
1498,3059,660704,"Ridgecrest city, California",28728,California,CA,Ridgecrest,"Ridgecrest, CA",https://bakersfield.craigslist.org/?search_distance=19.7&postal=93555
51,2003,603526,"Bakersfield city, California",372680,California,CA,Bakersfield,"Bakersfield, CA",https://bakersfield.craigslist.org/?search_distance=23.8&postal=93301
770,2273,618394,"Delano city, California",52709,California,CA,Delano,"Delano, CA",https://bakersfield.craigslist.org/?search_distance=7.8&postal=93215
2754,2650,640088,"Lamont CDP, California",15597,California,CA,Lamont,"Lamont, CA",https://bakersfield.craigslist.org/?search_distance=9.4&postal=93241
842,11364,2471150,"Severn CDP, Maryland",49076,Maryland,MD,Severn,"Severn, MD",https://baltimore.craigslist.org/?search_distance=2.3&postal=21144
999,11004,2414125,"Catonsville CDP, Maryland",41440,Maryland,MD,Catonsville,"Catonsville, MD",https://baltimore.craigslist.org/?search_distance=2.6&postal=21228
1673,11083,2425150,"Edgewood CDP, Maryland",25858,Maryland,MD,Edgewood,"Edgewood, MD",https://baltimore.craigslist.org/?search_distance=2.7&postal=21040
1500,11301,2460975,"Perry Hall CDP, Maryland",28681,Maryland,MD,Perry Hall,"Perry Hall, MD",https://baltimore.craigslist.org/?search_distance=2.7&postal=21128
1287,11304,2461400,"Pikesville CDP, Maryland",33426,Maryland,MD,Pikesville,"Pikesville, MD",https://baltimore.craigslist.org/?search_distance=2.8&postal=21208
1353,11295,2460275,"Parkville CDP, Maryland",31762,Maryland,MD,Parkville,"Parkville, MD",https://baltimore.craigslist.org/?search_distance=2.8&postal=21234
3733,11216,2447125,"Linthicum CDP, Maryland",10852,Maryland,MD,Linthicum,"Linthicum Heights, MD",https://baltimore.craigslist.org/?search_distance=2.9&postal=21090
1695,11244,2452300,"Middle River CDP, Maryland",25654,Maryland,MD,Middle River,"Middle River, MD",https://baltimore.craigslist.org/?search_distance=2.9&postal=21220
1205,11330,2464950,"Randallstown CDP, Maryland",35438,Maryland,MD,Randallstown,"Randallstown, MD",https://baltimore.craigslist.org/?search_distance=3.1&postal=21133
2295,11348,2468400,"Rosedale CDP, Maryland",19151,Maryland,MD,Rosedale,"Rosedale, MD",https://baltimore.craigslist.org/?search_distance=3.1&postal=21237
2102,11037,2418250,"Cockeysville CDP, Maryland",20789,Maryland,MD,Cockeysville,"Cockeysville, MD",https://baltimore.craigslist.org/?search_distance=3.2&postal=21030
684,11401,2478425,"Towson CDP, Maryland",58766,Maryland,MD,Towson,"Towson, MD",https://baltimore.craigslist.org/?search_distance=3.3&postal=21204
616,11070,2423975,"Dundalk CDP, Maryland",62516,Maryland,MD,Dundalk,"Dundalk, MD",https://baltimore.craigslist.org/?search_distance=3.4&postal=21222
2267,11087,2425750,"Elkridge CDP, Maryland",19367,Maryland,MD,Elkridge,"Elkridge, MD",https://baltimore.craigslist.org/?search_distance=3.5&postal=21075
1243,11291,2459425,"Owings Mills CDP, Maryland",34231,Maryland,MD,Owings Mills,"Owings Mills, MD",https://baltimore.craigslist.org/?search_distance=3.8&postal=21117
1611,11334,2465600,"Reisterstown CDP, Maryland",26903,Maryland,MD,Reisterstown,"Reisterstown, MD",https://baltimore.craigslist.org/?search_distance=4&postal=21136
1057,11094,2426600,"Essex CDP, Maryland",39494,Maryland,MD,Essex,"Essex, MD",https://baltimore.craigslist.org/?search_distance=4.2&postal=21221
2766,10923,2400125,"Aberdeen city, Maryland",15523,Maryland,MD,Aberdeen,"Aberdeen, MD",https://baltimore.craigslist.org/?search_distance=4.7&postal=21001
302,11041,2419125,"Columbia CDP, Maryland",103170,Maryland,MD,Columbia,"Columbia, MD",https://baltimore.craigslist.org/?search_distance=5.1&postal=21044
