,p_GEO.id2,p_GEO.display-label,p_HC01_VC03
24948,4822660,"Edinburg city, Texas",86123
12595,2717000,"Duluth city, Minnesota",86066
6266,1712385,"Champaign city, Illinois",85710
2183,613210,"Chino city, California",85609
26477,4955980,"Ogden city, Utah",85497
12460,2706616,"Bloomington city, Minnesota",85417
27350,5305280,"Bellingham city, Washington",85388
14346,2954074,"O'Fallon city, Missouri",85246
1945,600884,"Alhambra city, California",85168
16334,3474000,"Trenton city, New Jersey",84867
3934,918430,"Danbury city, Connecticut",84573
3050,660102,"Redwood City city, California",84368
267,135896,"Hoover city, Alabama",84150
4944,1272145,"Town 'n' Country CDP, Florida",83879
6288,1714351,"Cicero town, Illinois",83735
7466,1805860,"Bloomington city, Indiana",83636
2512,633182,"Hemet city, California",83604
5351,1342425,"Johns Creek city, Georgia",83397
12316,2680700,"Troy city, Michigan",83336
25555,4848768,"Mission city, Texas",83042
2094,608786,"Buena Park city, California",83020
16755,3570500,"Santa Fe city, New Mexico",82980
8948,1973335,"Sioux City city, Iowa",82568
4568,1239425,"Largo city, Florida",82433
4739,1254200,"Palm Coast city, Florida",82356
25434,4843888,"Longview city, Texas",82219
12354,2686000,"Westland city, Michigan",82172
2791,646898,"Merced city, California",82008
1549,523290,"Fayetteville city, Arkansas",81889
2630,639496,"Lake Forest city, California",81812
24709,4810912,"Bryan city, Texas",81743
960,404720,"Avondale city, Arizona",81590
11901,2627440,"Farmington Hills city, Michigan",81235
23298,4474300,"Warwick city, Rhode Island",81218
2647,639892,"Lakewood city, California",81106
23275,4419180,"Cranston city, Rhode Island",80979
23532,4548535,"Mount Pleasant town, South Carolina",80661
2852,649670,"Mountain View city, California",80076
3325,680854,"Tustin city, California",80007
26516,4965330,"St. George city, Utah",79995
11631,2562535,"Somerville city, Massachusetts",79983
17546,3650617,"New Rochelle city, New York",79877
20014,3961000,"Parma city, Ohio",79871
2864,650258,"Napa city, California",79722
4629,1243975,"Melbourne city, Florida",79640
11533,2534550,"Lawrence city, Massachusetts",79497
11371,2472450,"Silver Spring CDP, Maryland",79483
4307,1216725,"Deerfield Beach city, Florida",79468
12477,2707966,"Brooklyn Park city, Minnesota",79462
3000,657792,"Pleasanton city, California",79341
21330,4147000,"Medford city, Oregon",79246
27042,5147672,"Lynchburg city, Virginia",79237
27570,5335275,"Kennewick city, Washington",78858
6166,1706613,"Bloomington city, Illinois",78426
1940,600562,"Alameda city, California",78246
2184,613214,"Chino Hills city, California",78025
2025,604982,"Bellflower city, California",77852
7662,1831000,"Hammond city, Indiana",77827
28918,5566000,"Racine city, Wisconsin",77740
27334,5303180,"Auburn city, Washington",77440
7634,1827000,"Gary city, Indiana",77416
1850,566080,"Springdale city, Arkansas",77252
24833,4816432,"Conroe city, Texas",77086
