,Unnamed: 0,baths,bedrooms,contentLen,pid,date2,latitude,link,longitude,numPic,date,rent,reposts,sqft,title,updateDate,zipcode,state2,region2
173,173,1.0,0.0,20,6839236177,Mar 19,33.512171,https://phoenix.craigslist.org/cph/apa/d/phoenix-hardwood-style-flooring-night/6839236177.html,-112.050504,9,"2019-03-11T18:08:38-0700,2019-03-11T18:08:38-0700,2019-03-19T20:46:32-0700",690.0,0,380.0,"Hardwood-Style Flooring , Night Patrol, Subway Tile Backsplashes","2019-03-11T18:08:38-0700,2019-03-11T18:08:38-0700,2019-03-19T20:46:32-0700",,Arizona,Phoenix
175,175,1.0,0.0,25,6847299538,Mar 25,21.3409,https://honolulu.craigslist.org/oah/apa/d/honolulu-you-will-love-it-here-lease/6847299538.html,-157.8757,6,"2019-03-21T15:30:33-1000,2019-03-21T15:30:33-1000,2019-03-25T21:07:11-1000",1050.0,0,385.0,You will love it here! LEASE TODAY!,"2019-03-21T15:30:33-1000,2019-03-21T15:30:33-1000,2019-03-25T21:07:11-1000",,Hawaii,Honolulu
176,176,2.0,4.0,3,6821776344,Feb 17,27.7954,https://tampa.craigslist.org/hdo/apa/d/saint-petersburg-th-street/6821776344.html,-82.6373,13,"2019-02-17T18:23:13-0500,2019-02-17T18:23:13-0500",1100.0,0,1340.0,3026 8th Street N,"2019-02-17T18:23:13-0500,2019-02-17T18:23:13-0500",,Florida,St. Petersburg
177,177,1.0,0.0,23,6845677891,Mar 19,33.469329,https://phoenix.craigslist.org/cph/apa/d/phoenix-los-vecinos-ready-to-move-into/6845677891.html,-112.151747,6,"2019-03-19T19:40:18-0700,2019-03-19T19:40:18-0700",550.0,0,385.0,"Los Vecinos, Ready to move into a new place? Apartment Home!","2019-03-19T19:40:18-0700,2019-03-19T19:40:18-0700",,Arizona,Phoenix
179,179,1.0,1.0,2,6850544973,Mar 25,38.912075,https://washingtondc.craigslist.org/doc/apa/d/washington-navy-yard-icy-city-nice/6850544973.html,-76.986388,0,"2019-03-25T23:30:00-0400,2019-03-25T23:30:00-0400",870.0,0,550.0,"Icy city, nice affordable","2019-03-25T23:30:00-0400,2019-03-25T23:30:00-0400",,D.C.,Washington
180,180,1.0,2.0,7,6850544801,Mar 25,38.912075,https://washingtondc.craigslist.org/doc/apa/d/washington-navy-yard-icy-city-nice/6850544801.html,-76.986388,3,"2019-03-25T23:29:33-0400,2019-03-25T23:29:33-0400",980.0,0,750.0,"Icy city, nice affordable","2019-03-25T23:29:33-0400,2019-03-25T23:29:33-0400",,D.C.,Washington
181,181,1.0,2.0,16,6839109691,Mar 25,34.020264,https://losangeles.craigslist.org/wst/apa/d/los-angeles-remodeled-upper-2-bed-on/6839109691.html,-118.412445,17,"2019-03-11T15:11:39-0700,2019-03-11T15:11:39-0700,2019-03-25T12:32:28-0700",2295.0,0,1000.0,"Remodeled upper 2 bed on Westwood! Quartz counters,balcony,parking!","2019-03-11T15:11:39-0700,2019-03-11T15:11:39-0700,2019-03-25T12:32:28-0700",,California,LA
182,182,2.0,2.0,14,6850638585,Mar 26,25.8156,https://miami.craigslist.org/mdc/apa/d/miami-fully-furnished-2-bed-2-bath/6850638585.html,-80.1897,0,"2019-03-26T08:13:35-0400,2019-03-26T08:13:35-0400",2650.0,0,,#@$ fully furnished 2 bed/2 bath condo unit in the Platinum###,"2019-03-26T08:13:35-0400,2019-03-26T08:13:35-0400",,Florida,Miami
183,183,1.0,1.0,30,6844240618,Mar 26,33.832387,https://atlanta.craigslist.org/atl/apa/d/atlanta-our-prices-just-dropped/6844240618.html,-84.381545,7,"2019-03-18T11:23:26-0400,2019-03-18T11:23:26-0400,2019-03-26T10:56:58-0400",1150.0,0,450.0,OUR PRICES JUST DROPPED ! Buckhead Townhomes and Gardens,"2019-03-18T11:23:26-0400,2019-03-18T11:23:26-0400,2019-03-26T10:56:58-0400",,Georgia,Atlanta
184,184,2.5,3.0,27,6845377251,Mar 25,37.762651,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-condo-views-of/6845377251.html,-122.425777,24,"2019-03-19T12:45:40-0700,2019-03-19T12:45:40-0700,2019-03-25T09:54:51-0700",6800.0,0,,"LUXURY CONDO w/Views of Dolores Park, Roof Deck, Garage, Pet Friendly!","2019-03-19T12:45:40-0700,2019-03-19T12:45:40-0700,2019-03-25T09:54:51-0700",,California,SF
